epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.56836,1.78964,3.30487,1.4823,0.05551,0.9599,0.10905,0.06376,1.0283,3.08724,0.98762,0.0001,0.0001,0.0001
2,13.8105,1.19733,3.06735,1.09756,0.05739,0.99248,0.50993,0.32488,0.97694,2.87336,0.89121,0.00020911,0.00020911,0.00020911
3,19.9946,1.04645,2.33708,0.96221,0.05754,0.99499,0.84886,0.52415,0.96284,2.71105,0.85558,0.00030634,0.00030634,0.00030634
4,24.8824,1.02492,1.85504,0.93782,0.05739,0.99248,0.8918,0.59348,0.9437,2.60445,0.85782,0.00039169,0.00039169,0.00039169
5,29.754,1.00571,1.40732,0.93507,0.05754,0.99499,0.89202,0.55323,1.05673,2.57954,0.88755,0.00046516,0.00046516,0.00046516
6,34.6605,1.01791,1.11865,0.94327,0.05768,0.99749,0.88254,0.56842,1.00416,2.46409,0.87614,0.00052675,0.00052675,0.00052675
7,39.4701,0.98358,0.8789,0.95257,0.05768,0.99749,0.90088,0.62855,0.93592,2.32648,0.8682,0.00057646,0.00057646,0.00057646
8,44.3003,0.94907,0.77967,0.94484,0.05768,0.99749,0.93818,0.64967,0.99962,2.20092,0.88436,0.00061429,0.00061429,0.00061429
9,49.2083,0.90823,0.71086,0.93808,0.99619,0.65513,0.95577,0.63552,0.97035,1.87472,0.87668,0.00064024,0.00064024,0.00064024
10,54.0265,0.90462,0.66934,0.94581,0.98712,0.76827,0.96301,0.63491,0.97062,1.66028,0.87148,0.00065431,0.00065431,0.00065431
11,95.6548,0.9039,0.79382,0.95604,0.98847,0.85934,0.97404,0.6649,0.9905,1.40395,0.87114,0.0006565,0.0006565,0.0006565
12,100.354,0.89345,0.71954,0.93504,0.99398,0.82703,0.97533,0.66591,0.96355,1.4235,0.87616,0.00064681,0.00064681,0.00064681
13,105.067,0.8893,0.68713,0.91901,0.99137,0.86323,0.97977,0.66857,0.95185,1.32124,0.87154,0.00062524,0.00062524,0.00062524
14,109.754,0.86627,0.67714,0.91077,0.99467,0.9353,0.98424,0.71623,0.92812,1.18769,0.87065,0.00059179,0.00059179,0.00059179
15,114.412,0.85511,0.6331,0.91286,0.99482,0.96262,0.98466,0.74354,0.87749,1.07166,0.86366,0.00054646,0.00054646,0.00054646
16,119.086,0.83353,0.6242,0.90965,0.99238,0.97957,0.98758,0.74027,0.88075,0.90659,0.86591,0.00048925,0.00048925,0.00048925
17,123.787,0.82859,0.60135,0.90176,0.99027,0.97995,0.9895,0.76022,0.84929,0.8642,0.86487,0.000416,0.000416,0.000416
18,128.486,0.83733,0.59528,0.90455,0.9909,0.97995,0.99131,0.77733,0.82914,0.78057,0.864,0.000317,0.000317,0.000317
19,133.175,0.81357,0.57487,0.89744,0.99179,0.97995,0.99141,0.77754,0.82768,0.745,0.8623,0.000218,0.000218,0.000218
20,137.869,0.80305,0.56988,0.88711,0.9949,0.97742,0.99136,0.7827,0.81239,0.69582,0.86456,0.000119,0.000119,0.000119
